name,nameKana,unit_name,birthDay,starSign,arm,place,hobby,specialty,characterVoice
櫻木真乃,Mano Sakuragi,illumination STARS,25 April,Taurus,Kanan,Tokyo,"Jalan-jalan, Berjemur di taman",Memikat Burung,Hitomi Sekine
風野灯織,Hiori Kazano,illumination STARS,4 Maret,Pisces,Kanan,Tokyo,"Memasak, Meramal",Mengatur Jadwal,Reina Kondo
八宮めぐる,Meguru Hachimiya,illumination STARS,22 Juli,Cancer,Kanan,Massachusetts、 America,"Talking with people, Exercising",Sports,Mayu Mineda
月岡恋鐘,Kogane Tsukioka,L'Antica,25 February,Pisces,Kiri,Nagasaki,"'My excellent home cookin'!'",'Drawin' caricatures!',Karin Isobe
田中摩美々,Mamimi Tanaka,L'Antica,24 Mei,Gemini,Kanan,Kanagawa,"Wandering, teasing people",Cutting her own hair,Chisa Suganuma
白瀬咲耶,Sakuya Shirase,L'Antica,27 Juni,Cancer,Kanan,Kochi,Going to different kinds of places,Cool posture,Anna Yamaki
三峰結華,Yuika Mitsumine,L'Antica,16 Januari,Capricorn,Kanan,Fukushima,"Idol lives, Cameras, Games, Anime, Reading","Studying, recognition from idols she supports first",Shio Kisui
幽谷霧子,Kiriko Yukoku,L'Antica,23 September,Libra,Kiri,Aomori,"Collecting cute things、Handcrafts, blood donation","Wrapping bandages, silent steps, peeling apples",Mizuki Yuina
小宮果穂,Kaho Komiya,Hokago Climax Girls,29 Jul,Leo,Kanan,Tokyo,"Watching Sunday morning children's TV, Collectibles",Memorizing catchphrases from her favorite programs,Hiyori Kono
園田智代子,Chiyoko Sonoda,Hokago Climax Girls,24 Februari,Pisces,Kanan,Chiba,Touring sweet shops,Eating a lot,Haruka Shiraishi
西城樹里,Juri Saijo,Hokago Climax Girls,26 November,Sagittarius,Kanan,Kanagawa,"Western music, Games","Sports, Basketball",Mariko Nagai
杜野凛世,Rinze Morino,Hokago Climax Girls,19 Oktober,Libra,Kiri,Tottori,"Shoujo manga, traditional arts","Origami, Hyakunin Isshu",Wakana Maruoka
有栖川夏葉,Natsuha Arisugawa,Hokago Climax Girls,16 Agustus,Leo,Kanan,Aichi,"Training, Stretching",Outfit coordination,Akiho Suzumoto
大崎甘奈,Amana Osaki,ALSTROEMERIA,25 Desember,Capricorn,Kanan,Toyama,"Shopping, Nails, Selfies","Getting up early, Thriftiness",Honoka Kuroki
大崎甜花,Tenka Osaki,ALSTROEMERIA,25 Desember,Capricorn,Kanan,Toyama,"Afternoon naps, surfing the net, Anime, Games",Nothing in particular,Ryoko Maekawa
桑山千雪,Chiyuki Kuwayama,ALSTROEMERIA,8 April,Aries,Kanan,Yamaguchi,Creating cute accessories,"Sewing, giving directions",Noriko Shibasaki
芹沢あさひ,Asahi Serizawa,Straylight,4 Januari,Capricorn,Kanan dan kiri,Tokyo,"Observing people, talking to people",Good memory,Yuki Tanaka
黛冬優子,Fuyuko Mayuzumi,Straylight,4 Desember,Sagittarius,Kanan,Ibaraki,'Chatting with friends♪','Becoming friends with everyone♪',Eri Yukimura
和泉愛依,Mei Izumi,Straylight,2 Agustus,Leo,Kanan,Saitama,"Playing with friends, listening to recent music",Talking on the phone for hours,Sayaka Kitahara
浅倉透,Toru Asakura,noctchill,4 Mei,Taurus,Kanan,Tokyo,Watching dramas and movies,"Remembering people's faces",Yu Wakui
樋口円香,Madoka Higuchi,noctchill,27 Oktober,Scorpio,Kanan,Tokyo,Not really anything,Not really anything,Rio Tsuchiya
福丸小糸,Koito Fukumaru,noctchill,11 November,Scorpio,Kanan,Tokyo,Reading,Studying,Saran Tajima
市川雛菜,Hinana Ichikawa,noctchill,17 Maret,Pisces,Kiri,Kanagawa,'I like everything just fine～','I can do anything just fine～',Miho Okasaki
七草にちか,Nichika Nanakusa,SHHis,26 Juli,Leo,Kanan,Saitama,Music appreciation,Housework,Azusa Shizuki
緋田美琴,Mikoto Aketa,SHHis,8 September,Virgo,Kanan,Hokkaido,Songwriting,Dance choreography,Aya Yamane
斑鳩ルカ,Luca Ikaruga,CoMETIK,1 Januari,Aquarius,Kiri,Kanagawa,None,None,Rina Kawaguchi
鈴木羽那,Hana Suzuki,CoMETIK,2 Oktober,Libra,Kanan,Okayama,Strolling,Eating delicious food,Haruna Mikawa
郁田はるき,Haruki Ikuta,CoMETIK,5 April,Aries,Kanan,Nagano,"Walking around, organizing",Drawing illustrations,Rena Ozawa
ルビー,Ruby,B Komachi,ー,ー,ー,ー,ー,ー,Yurie Igoma
有馬かな,Kana Arima,B Komachi,ー,ー,ー,ー,ー,ー,Megumi Han
MEMちょ,MEM-cho,B Komachi,ー,ー,ー,ー,ー,ー,Rumi Ookubo
黒川あかね,Akane Kurokawa,Lalalie Theatrical Company,ー,ー,ー,ー,ー,ー,Manaka Iwami
七草はづき,Hazuki Nanakusa,283Pro,3 Februari,Aquarius,Kanan,Saitama,"Collecting sleep goods (especially eye masks and neck pillows), work","Short sleep, budget cooking, penmanship, customer service, calculator, traffic control, and other skills gained from part-time work",Hibiku Yamamura
